id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
773444765236574058,Charming Double Bedroom,490005598,Marlina,,Kapunda,-34.34162,138.91201,Private room,,2,6,2024-07-16,0.18,2,0,0,
781290494667105373,Modern Tranquility in the heart of Tanunda,491342431,Alex,,Tanunda,-34.5203488,138.9656976,Entire home/apt,330,2,101,2025-09-21,3.16,1,327,34,
784244778617200952,Riesling Apartment - Angaston Mews,487505306,Anne-Marie,,Angaston,-34.50004320611457,139.05103183862306,Entire home/apt,323,2,4,2024-04-21,0.17,4,339,0,
784276873901035135,Shiraz Apartment - Angaston Mews,487505306,Anne-Marie,,Angaston,-34.49999015463658,139.05101038095094,Entire home/apt,339,2,2,2025-07-06,0.11,4,339,1,
792322179365209191,Kesehills Wines Individual Villa B (8 Rooms),488554818,Nick,,Mount Pleasant,-34.74345,139.11456,Entire home/apt,1427,2,8,2025-07-13,0.27,10,266,4,
792356113015735467,Kesehills Wines Shared Villa B Ground Floor,488554818,Nick,,Mount Pleasant,-34.74357,139.11264,Entire home/apt,833,1,0,,,10,361,0,
792371126158972761,Kesehills Wines Shared Villa B Upper Floor,488554818,Nick,,Mount Pleasant,-34.74159,139.114,Entire home/apt,515,1,0,,,10,361,0,
792372489987708648,Shady acres.,493274930,Yvonne,,Gawler River,-34.62867,138.6437,Entire home/apt,165,1,138,2025-09-22,4.21,1,333,62,
798143975652518850,Petit Manor,85597526,Tracy,,Mount Crawford,-34.771432,138.977761,Entire home/apt,270,1,152,2025-09-21,4.68,2,341,52,
803889383750048082,Barossa-Sleeps 10/Spa/WiFi/Foxtel/Relax or Explore,495954773,Filomena,,Lyndoch,-34.6064501,138.8820816,Entire home/apt,315,2,36,2025-08-31,1.13,1,325,17,
804036658904390423,"Para House, Tanunda. Barossa!",206127681,Megan,,Tanunda,-34.51218,138.97548,Entire home/apt,,2,3,2024-07-17,0.10,1,0,0,
812465538310166564,Oldham House - Dutton Suite Hosted B&B in Kapunda,86727693,Susan,,Kapunda,-34.33822,138.91862,Private room,200,1,7,2024-10-02,0.22,3,359,1,
815516113841270903,CABN CANVS Seppeltsfield,497989134,Cabn,,Marananga,-34.48736,138.92421,Private room,,1,14,2025-08-30,0.47,4,349,8,
818346280706439704,Abbotsford Country House - Magnificent Views,499283772,Andrew,,Lyndoch,-34.57512,138.86588,Entire home/apt,3000,2,12,2025-09-20,0.52,1,306,9,
821437484393218459,Oldham House 2 suites in Kapunda,86727693,Susan,,Kapunda,-34.3381,138.92034,Private room,360,1,5,2025-09-22,0.23,3,358,2,
821920419282972252,"The Beech House-Hill views, peaceful location, 2BR",78710746,Emma,,Tanunda,-34.53751,138.95358,Entire home/apt,301,2,71,2025-09-12,2.32,2,62,20,
822878704187927793,A Sterling View,128798728,Rachel,,Angaston,-34.495766,139.0435064,Private room,95,1,131,2025-08-31,5.10,1,145,56,
822930476514810622,The Jolly Folly - self contained guest wing,47672122,Jo,,Tanunda,-34.52381,138.95723,Entire home/apt,172,1,137,2025-09-25,4.41,1,198,57,
824178348921213322,Happy on Heath,398692841,Kylie,,Nuriootpa,-34.46536,138.98043,Entire home/apt,,1,32,2023-12-02,1.01,1,0,0,
824789965710980308,Welcome to Schnippen Inn.,500655156,Lisa,,Tanunda,-34.5124438368938,138.9775788411498,Entire home/apt,347,2,16,2025-07-13,0.54,1,189,6,
825630229231840810,Oscar’s Cottage in Marananga,275161574,Wendy,,Marananga,-34.48418,138.93898,Entire home/apt,295,1,7,2025-08-17,0.65,2,274,7,
832029740889145365,CABN Chloe - Barossa Valley,497989134,Cabn,,Marananga,-34.50419,138.9327,Entire home/apt,349,1,23,2025-07-15,0.77,4,328,5,
832043904378090270,CABN Elsie - Barossa Valley,497989134,Cabn,,Marananga,-34.50408,138.93048,Entire home/apt,337,1,24,2024-06-03,0.79,4,322,0,
848070741154984852,The Original Cobbler’s Cottage,505423341,Mitchell,,Greenock,-34.45791,138.93141,Entire home/apt,379,2,23,2025-08-24,0.78,1,346,7,
855244046779105277,Vine View,469195852,Karen,,Angaston,-34.510605,139.019844,Entire home/apt,675,2,47,2025-08-31,1.56,1,225,18,
861068035850251868,Kaiser Ridge - eco stay Kaiser,329243003,Nicole,,Flaxman Valley,-34.5691194,138.9951002,Entire home/apt,553,2,11,2025-09-23,0.92,3,295,11,
886458452855579093,Mrs Magpie's Cottage,444700361,Amy,,Lyndoch,-34.601818295509545,138.88767567976225,Entire home/apt,,2,0,,,1,0,0,
892251887601842416,Casale Estate,104738292,Chloe,,Nuriootpa,-34.46841,138.957,Entire home/apt,1495,2,30,2025-08-25,1.12,2,296,10,
910502962189532573,Live like a Barossan,19654974,Rosie,,Tanunda,-34.51049,138.96668,Entire home/apt,327,2,99,2025-09-14,3.92,1,301,44,
912619147152856719,"Milk + Honey House, by Angaston",93828490,Fiona,,Penrice,-34.48765,139.04504,Entire home/apt,228,3,32,2025-08-22,1.32,1,227,10,
913230078821818136,Cimicky House: SA's Finest Group Getaway,397924132,Jacki Anne,,Lyndoch,-34.58306,138.87635,Entire home/apt,594,2,30,2025-08-16,1.30,2,292,16,
914716018649867579,CABN X Seppeltsfield Barossa Luxury Accommodation,497989134,Cabn,,Marananga,-34.48872,138.92192,Entire home/apt,594,2,32,2025-07-23,1.31,4,327,12,
937954604687133626,The Residence at Schubert Estate,7635732,Alison,,Marananga,-34.4751,138.94368,Entire home/apt,1000,1,43,2025-08-13,1.68,1,305,20,
939408136486547449,The winemakers quarters,526804970,Nigel,,Tanunda,-34.5155895,138.9692573,Entire home/apt,,1,43,2025-07-05,1.79,1,30,17,
